title,job_role,companyName,job_location,Job_Summary,post_date,salary,today_date,Job_url
Integration Engineer,Data Engineer,Uber,"Hyderabad, Telangana+1 location",The Integrations Engineer will work in partnership with cross-functional teams to define requirements and ensure the seamless transfer of data within our…,PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0AVIi8UxprrPGU7QPohOxOOpynq0pcPnEidcD-eE3H2SscmD_E2BRcx7-dx3BBatDlEuJwH3eeDUJcjNkN5TgxQEm-1MMO3bMRUWmWTpwm9-QazF67L_CwaW-t9CBnSRemI-qds0-vDmmZlV4sL4Ep9IF4sUetJM1erV8aN9Z7dK4hKuaRexRCVdwshZD7XNQ7cbQAzvQGHON3uFDpwJvSAc_V-1dv-MSqDaru2iWJtVfc8MaYpWhJMVeDhAyAn5jjfJKdOdQOKLTp37AmVl0HYZJAhqJnHiv256IyF35hAPdpubUxEtrsmobQolIGRcny8cyDESa47bhdbMIyi3U8isfB-8Q2Gi34It89LLfjieFZCGPZbW9bwSwJPjREXgnM7PtR2E-sRlsGuVAM7aXMXQzBQwUEvOZ5Wv9tWSeBr18r11i5i163r6rhVhbGiceZdw3f1HZNY4EaCDQs_LMABw-bdidRQ7mRAB9-t3zHtgdl9EIPX403cmzhqXl-BOL7Dyn0TODwTFJR5H7od65A3BSmQy8SGkjcjZLlJ6DKhmQO39QDGUSW20J3E8PvI-Yw3sZQjIpnsnelLgApERzpsXnIiWL-tveJitvOeG_blxlh2Yimf2-LSzzkeqN1HBUtG1bsf6GjET74rNhCP2VTrMhmNhJ0wQ4PIdGwR2zx_lFHUBjaPuhe4KNaqfAG3jhbB2GwVEULrKfceoWqO-NEjzWhuBKzBuQ7zhxyvR4REZEcQwuCJPYjiNhazy2BqAJVyiwTVfWTlNlVASy6aYDktSJLowHLipuDuD0DMdEAXHBNolShi8k0MUCemjTCReyzHXEmP04F14UmNL7Mek4vpMjWVi73ONO3gmbvygB1rOdQJUOcpZOkZxn110OjjJVGpZiU64HbYVt338qbpeZElW2cmmkna_B2mqyBSDCpkJfJoOH4yZotOrfBlqP25wpB2kdmTDM9e7dx_WQGv_HQoxbMuAU7C_WN7aCln75Kk5eZtayzPahRu8Fgob7dJww8q2xNzjrhlxW1jZEw-bDWMmYP4X8HO8068MZd8iwNbZUBBohLXpotl4xxYpstjIyh_mDNnPWrOr2fLNe8JT87SU2YYR8LwOGt7Q32E5czJ9l0Dp-V-XLdzsiZd9P_3gIFBEdJqRw2CPL6WKBoD2uXXzRkAak6IXZeH71zwHCIyfw==&xkcb=SoBG-_M3Syq-8SyFmx0NbzkdCdPP&p=13&fvj=0&vjs=3
Data Engineer - SQL,Data Engineer,HRhelpdesk,"Noida, Uttar Pradesh","Management, measurement and delivery of data availability and data observability metrics.
Constructing data models and structures that will allow both strong…",PostedPosted 30+ days ago,"₹5,00,000 - ₹10,00,000 a year",2023-03-15,/rc/clk?jk=b541badbb87634ad&fccid=6edaa483dac9b734&vjs=3
Data Engineer,Data Engineer,Think Future Technologies,"Remote in Gurgaon, Haryana","Extensive hands on experience implementing data migration and data processing using Azure/AWS services.
Degree in computer science or in any related field.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=5ec44518b3444f4a&fccid=a88c8ff1ae4539d3&vjs=3
Data Engineer Associate,Data Engineer,BlackRock,"Hybrid remote in Gurgaon, Gurugram, Haryana","Our engineers design and build large scale data storage, computation and distribution systems.
They partner with data and analytics experts to deliver high…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=3d5bfda6453931e9&fccid=58c732f14833248a&vjs=3
Test Engineer,Data Engineer,True Data Software,Remote,"Define test plans and use cases required for performance testing Perform optimal test setup, tools, etc.
Execute test plans and document all results, including…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=76180884d270a0d9&fccid=905889db10428b23&vjs=3
"AWS Data Engineer ( glue ,Lambda,Pyspark,redshift)",Data Engineer,Veegasree,"Chennai, Tamil Nadu+1 location","Must be experienced in building data pipelines using Python and AWS Glue.
AWS Data Engineer - Redshift/Python*.
Proven experience as a Data Engineer.",PostedPosted 19 days ago,"Up to ₹50,000 a month",2023-03-15,/company/veegasree/jobs/Aws-Data-Engineer-295acf782d1c8bb1?fccid=52d45b182f76295e&vjs=3
Data Engineer,Data Engineer,Sails Software,"Visakhapatnam, Andhra Pradesh","Hands on experience in data wrangling, data cleaning, data automation and subsequent data monitoring and analysis.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=a2c3466e1e8030ad&fccid=9992056fdb7197a3&vjs=3
Data Engineer,Data Engineer,CaaStle,"Bengaluru, Karnataka","Design and development of scalable applications.
Collaborate with tech leads to get maximum understanding of underlying infrastructure.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=7c2542f06bc6cae1&fccid=ed510ba569246afc&vjs=3
Network Analyst/Network Engineer,Data Engineer,TheHive,Remote," Procedures and policies, based on experience and industry best practice, will be developed to quickly resolve all incidents and introduce cost-effective…",PostedPosted 11 days ago,"₹1,00,000 - ₹2,00,000 a month",2023-03-15,/company/TheHive/jobs/Network-Analyst-Network-Engineer-80b90df71029120c?fccid=3f6264f8e7e6996f&vjs=3
Big Data Engineer,Data Engineer,Variation Tecruite Pvt Ltd,"Remote in Delhi, Delhi+1 location","Flair for data, schema, data model, how to bring efficiency in big data related life cycle.
Evaluate big data technologies and prototype solutions to improve…",EmployerActive 8 days ago,"₹25,00,000 - ₹30,00,000 a year",2023-03-15,/company/Variation-Tecruite-Pvt-Ltd/jobs/Big-Data-Engineer-32c9089a1e2a78bf?fccid=a6d664b61c1c7a8e&vjs=3
Data Engineer - India,Data Engineer,NexaQ,Temporarily Remote,"Working experience in a DevOps environment, data integration and data pipeline development.
Demonstrated skill and ability in the development of data warehouse,…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=8f219311559132ac&fccid=add8891f129ba295&vjs=3
Senior Data Engineer,Data Engineer,Logward Systems Private Limited,"Bengaluru, Karnataka","Managing a team of data engineers and ensuring smooth data pipeline.
Responsible for data inflow from multiple clients.
Should have managed a team of engineers.",EmployerActive 11 days ago,"₹30,00,000 a year",2023-03-15,/company/Logward-Systems-Private-Limited/jobs/Senior-Data-Engineer-8238287ddfa6df44?fccid=ded259ee01373e85&vjs=3
Integration Engineer,Data Engineer,Uber,"Hyderabad, Telangana+1 location",The Integrations Engineer will work in partnership with cross-functional teams to define requirements and ensure the seamless transfer of data within our…,PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0AVIi8UxprrPGU7QPohOxOOpynq0pcPnEidcD-eE3H2SscmD_E2BRcx7-dx3BBatDlEuJwH3eeDUJcjNkN5TgxQEm-1MMO3bMRUWmWTpwm9-QazF67L_CwaW-t9CBnSRemI-qds0-vDmmZlV4sL4Ep9IF4sUetJM1erV8aN9Z7dKzaWwx5bV8yhgTAtDHIJRbNja9-HngKJTgtJtw8xte8UEgzalF7s2Qyx5TMyCzdYzpP6okM-jG_RURLPvnY5LYg9lxC3mggO9Dn41RfnlsyGb7cCDgPhXcUeM9y-ixtdhS_igodczizpv4hN-HsMVMvBAee_vaaLbBl1IjWmMuS8siRoyUXzuCGrb3X8g9eB8lczciVIcKgA4g1UpoHtabbcqvLJX4m-GOwQZN7SLz5LCgieBE_XpNvzFJYKWE8-5aTNWXnivZQ-AHEZX9Pv02IyYFp9adF48dF13sFbaO-rh74PYkQxV7snMX_uC5OhTCXB4Cqm6gZDdLVBSm2aEstHZvrCMTDZL7Ftedwg2EPYDkNFPW-DJELSib5rpvK2Yr33sddCGHy80GLjDS9NZLehJ_Xaxs_KIeTyKzrr3XB9733xb9DMkDp2YvDKy2LrXGHSBmYJEGzVvdh40aLnzO5AddRfURaGOo5OQlcdGbjGk2263HLvROEfcBAZYgb1rtAeTXysCZIhzhwIbGNQxi6x2SlPN1PafgmRFPneE6pGn_zQsO0gem0Tq0-L8T4KwvY0DgKEDKeOdNdL_-ryWiqGYAN5UzUIlsfZLKaAYYjQmCRm5SloG-SK-QFVZ7Ubb6r21zER4BZjupOUnXqkuH3GLN7EAlU0MyepRwKIBbg1vdk6hP-UQ0u7N8WEjjKbn7PkE6_9D_c7REy04nxloxPaY1WQQuUqUbljEM6ol3pQfkey1M3syhLoqrngYLyMDM36W2kKVRLvNd1oq8wAKivykj06Va-l7lmv_KA1wfj6DVBZgBLIgn5kBRLaRzDD4aslSn2wUyQ0i-vN2fom-Nq7DQrafNkIydZ3FeJ3H3D6wByK7CjgPcADe9dFOCAxlC4e0sYVvpnpIHKsz0uIj2-C1m27mUpDJlHPKdewW8DHX8Vn4cGJdHgXtxoYVtRhroYzLCP_4HLGCzalUeQ30kLm9gpD7PqhnOkFO8v3iNnKfX2-Ykr4h_FZ0H8HuVG8-w==&xkcb=SoAb-_M3Syq-YIyS8B0KbzkdCdPP&p=12&fvj=0&vjs=3
Data Engineer - Mulesoft,Data Engineer,Wabtec,"Remote in Bengaluru, Karnataka","So, managing all data assets including Master data domains are critical.
Design, develop, test and maintain APIs to facilitate data integration.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=b79f174b8e58faab&fccid=4f4e9de46f588f62&vjs=3
AVP- Data Engineer,Data Engineer,Thanks Buddy,"Bengaluru, Karnataka","Proficiency in data acquisition and data preparation by pulling data from various databases.
Work with data engineering, data science & digital marketing teams…",EmployerActive 6 days ago,"Up to ₹30,00,000 a year",2023-03-15,/company/Thanks-Buddy/jobs/Avp-5607621e9a78a947?fccid=8db9d4f6f5718232&vjs=3
Advanced Analytics - R Data Engineer,Data Engineer,Lilly,"Bengaluru, Karnataka","Streamline and prepare data for analysis through understanding of data flow and integration.
Creating and driving standards for data capture, storage, and…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=db9040ccc0bfa2b8&fccid=ac8d156b339793e6&vjs=3
Data Engineer,Data Engineer,Provenir Inc.,Remote,Manage and scale data pipelines from internal and external data sources to support new product launches and drive data quality across data products.,PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=42f66d25cea7b80b&fccid=9c3cd48203ab119b&vjs=3
Data Engineer,Data Engineer,SBT APPARELS PVT LTD,"Temporarily Remote in Palladam, Tamil Nadu","Strong experience working with SQL and Python.
Palladam, Palladam - 641664, Tamil Nadu: Reliably commute or planning to relocate before starting work (Required)…",PostedPosted 30+ days ago,"From ₹50,000 a month",2023-03-15,/company/SBT-APPARELS-PVT-LTD/jobs/Data-Engineer-1697afbc0d0f9401?fccid=808143d32f03e93d&vjs=3
Data Engineer,Data Engineer,AlphaGrep Securities,"Mumbai, Maharashtra","Set up practices on data reporting and continuous monitoring.
Assemble large, complex data sets that meet functional / non-functional business requirements.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=6213e71300b9956f&fccid=8e9ef3253753af47&vjs=3
AI/ML Engineer,Data Engineer,InTechHub Solutions,Remote,"Able to understand various data structures and common methods in data transformation.
Successful history of manipulating, processing, and extracting value from…",PostedPosted 9 days ago,"₹8,00,000 - ₹12,00,000 a year",2023-03-15,/company/Infotech-soln/jobs/Ai-Ml-Engineer-9fbeb37ad3c48556?fccid=bc92684faf170459&vjs=3
Python Back-end Engineer,Data Engineer,True Data Software,Remote,"Developing models and business logic (e. g. transactions, payments, diet plan, search, etc).
Architecting servers and services that enable new product features.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=e03775a0134d75d0&fccid=905889db10428b23&vjs=3
Data Engineer,Data Engineer,CME Group,"Bengaluru, Karnataka","Combine data from disparate sources in to a single, unified, authoritative view of data (e.g., Data Lake).
Enable and support data movement from one system /…",PostedPosted 27 days ago,?,2023-03-15,/rc/clk?jk=a4a0ff2355e42c2c&fccid=5a3ef63f55aa5ca2&vjs=3
Data Engineer (Remote),Data Engineer,nClouds,"Remote in Gurgaon, Haryana","At least 5 years of experience as a data engineer.
Strong understanding of data warehousing and data pipeline design.
Experience with SQL and NoSQL databases.",PostedPosted 22 days ago,?,2023-03-15,/rc/clk?jk=8d1fbdeed5b82c1e&fccid=c76149658a7e6a8d&vjs=3
Data Engineer,Data Engineer,Ascent Technosystems Pvt Ltd,"Remote in Pune, Maharashtra","Spark, (Scala and SQL) (min 2 years experience)·.
Production level coding experience is a must·.
AWS experience (min 2 years experience)·.",EmployerActive 2 days ago,"₹4,00,000 - ₹8,00,000 a year",2023-03-15,/company/Ascent-Technosystems-pvt-ltd/jobs/Data-Engineer-aafeef5bc2de220f?fccid=a60a5c61dc4df5aa&vjs=3
Core Engineer (EPC/IMS),Data Engineer,Integrated Wireless Solutions,India,"Good exposure in IMS architecture with all the nodes (P-CSCF, I-CSCF, S-CSCF, TAS, HSS) and end to end call flow including IMS Registration.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=dcbdd188eae0564d&fccid=73c8ba87b0377086&vjs=3
Data Analytics / Machine Learning Engineers,Data Engineer,Tata Elxsi,"Bengaluru, Karnataka","Understanding of various ML frameworks, libraries, data structures, data modeling and software architecture.
Exposure to traditional Machine Learning algorithms…",PostedPosted 22 days ago,?,2023-03-15,/rc/clk?jk=60238abff7540670&fccid=cf9a392c0e128671&vjs=3
Data Science Engineer,Data Engineer,Emerson,"Pune, Maharashtra","Development of Data Analysis, Data Processing engines using Python.
Development of REST API using Python.
Development & Deployment of applications on AWS/Azure.",PostedPosted 26 days ago,?,2023-03-15,/rc/clk?jk=1336f2ba99b7aa51&fccid=c3d73a6fd53e8543&vjs=3
Integration Engineer,Data Engineer,Uber,"Hyderabad, Telangana+1 location",The Integrations Engineer will work in partnership with cross-functional teams to define requirements and ensure the seamless transfer of data within our…,PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0AVIi8UxprrPGU7QPohOxOOpynq0pcPnEidcD-eE3H2SscmD_E2BRcx7-dx3BBatDlEuJwH3eeDUJcjNkN5TgxQEm-1MMO3bMRUWmWTpwm9-QazF67L_CwaW-t9CBnSRemI-qds0-vDmmZlV4sL4Ep9IF4sUetJM1erV8aN9Z7dKysZQwCl9KNBvFbNJVdm2n_OZADo_Prh4YQ7LmwwFzPiBK1DSszS9J98B8tiX_zZTti_MZMwip6KgJj4oG9r2TMv3iYS6w5W26JqlhX4O0tSzicU2ITIiUDTTem5QGfWNU3Bjxkiemr-iLh-2vmicMCnWVLmBRiSfdJ0AYZAXLELA9pq7AH6-3PRIxK3sBzkorNkLeqpnrWpz8r-oE10Xv4t2UV-INEbzfnZfd2TWKk3US77cTXce3u2DAYLsWn0JrR8ViKhe-73nj3rGmNnf-Ff0XoUT8OkwL5V813wJxXruWf2AqlqdL0M_4UrnK53lTID5NQIfMrO2kjparf09LazKOwpWPkqJGUo3GTpeldtxb4pxoBECCkXepk7PztMj0zrJWxlIQoOssRHMsSmHcuymrL77WCln4Tp_5w3L7Puz0-RCgMCd4RYCBLNcp8tbKIvJJRZIrswld-wrhK9gHNKoTo-QGe5dcOlvSrlxK5V-62Z2hbxGswUsRHqnDse9BU3GasmElG5Q92d72mcmSNJKKmmdY5UXe5KAEUDgDkhYLkbNcoit5xaIZZJefzqJQxwIUkOWCc-h3HNRjh4ZK5YviPUn42C364-q1WVR5cFBbrSJGW0bkgUS0dkV6Aq3HFH-2gu4R1nDsRlbNrrf5-G4qVsPtLQnjulSlIZYa5cjAHJ7-ZJ4PH4hRlwvMcYKWken4tyQ0gxC5FCB4p6MGIxoNVBr571OuBN5cvP2n0CHnoDy2mNN1YzVB7bByaLonYJchTHkfSr-B7dO1UgGbygsMOoRQ74ECs5_bbbERZv43MIcvGlsM9tNkYc2lME9tdDlM5_2pXuH4efqZ66FJAZMq-YLsJLxPZDHTdduNbgYdUj564mT3eomeImjQsKTDkk26swzQzbG_0pPcWRelzpPKLG-wOu4rffLx95GoCNfgDAsTJM2PIehzbB-uhFytdQ5gVhke5ejNp5wa7Ic3gRAXhypUMuQ0GmoC-OiGKP-Uf1n4KNLWgyGtPnV5SHHw==&xkcb=SoCX-_M3Syq9hVwNJR0ObzkdCdPP&p=13&fvj=0&vjs=3
Data Engineer,Data Engineer,The Modern Data Company,Remote,"To create solutions for ingesting and transforming customers’ data.
Create a structural approach by breaking down complex data transformation jobs.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=65e9649a70660564&fccid=4b82508ba834775b&vjs=3
Data Engineer,Data Engineer,Smartek21.com,"Chennai, Tamil Nadu","Provide roadmap to achieve future state data platform architecture including data platform guiding principles.
Data quality & data governance guidelines.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=ac0cdb1e758bb8c8&fccid=87afc300fa24fc92&vjs=3
Big Data Engineer,Data Engineer,SHC TECH,"Remote in Mysore, Karnataka+3 locations","Analyze and organize raw data and conduct complex data analysis.
Data processing pipeline for large data set of data integration in AWS Cloud environment.",PostedPosted 30+ days ago,"₹40,000 - ₹50,000 a month",2023-03-15,/company/SHC-TECH/jobs/Big-Data-Engineer-d7d4ad0e90d24a7b?fccid=da79474045f0ddff&vjs=3
Big Data Test Engineer(Manual),Data Engineer,talent Folks,"Pune, Maharashtra","Good Knowledge of Big Data technologies like BigQuery, Kafka, Impala, Presto, Oozie and Airflow, Elasticsearch, HBase, and SnowflakeHands-on experience in…",PostedPosted 20 days ago,?,2023-03-15,/rc/clk?jk=035a13e291cf47eb&fccid=4624577777b52831&vjs=3
Data Engineer - Apache NIFI,Data Engineer,"CGI Group, Inc.","Bengaluru, Karnataka","Develop data pipelines that help in transporting data from source systems to OG Insights storage.
Develop pipelines that extract, transform, and load data from…",PostedPosted 11 days ago,?,2023-03-15,/rc/clk?jk=3f77dc4252a537af&fccid=43a69183767d4301&vjs=3
"Engineer, Data and Analytics",Data Engineer,Wabtec,"Bengaluru, Karnataka","Developed data models and designed applications for data architecture.
Knowledge of MDM, data modelling ,Agile methodology and data Governance.",PostedPosted 15 days ago,?,2023-03-15,/rc/clk?jk=7aaf45ffb1bddf82&fccid=4f4e9de46f588f62&vjs=3
MS SQL Support Engineer,Data Engineer,IBST Private Limited,"Nagpur, Maharashtra","Should have experience in MS SQL Server Tool (Must).
Should know to debug Procedures and functions.
Should have experience in Disk size and Logs management.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=a72fcc72baf791bb&fccid=39fccf55504681f3&vjs=3
Big Data - Hadoop Engineer,Data Engineer,Apple,"Bengaluru, Karnataka","Mentor other engineers in the team on the development of big data technologies and applications.
Experience with processing large amounts of data.",PostedPosted 17 days ago,?,2023-03-15,/rc/clk?jk=3a71315fdef29ec4&fccid=c1099851e9794854&vjs=3
Integration Engineer,Data Engineer,Uber,"Hyderabad, Telangana+1 location",The Integrations Engineer will work in partnership with cross-functional teams to define requirements and ensure the seamless transfer of data within our…,PostedPosted 30+ days ago,?,2023-03-15,/pagead/clk?mo=r&ad=-6NYlbfkN0AVIi8UxprrPGU7QPohOxOOpynq0pcPnEidcD-eE3H2SscmD_E2BRcx7-dx3BBatDlEuJwH3eeDUJcjNkN5TgxQEm-1MMO3bMRUWmWTpwm9-QazF67L_CwaW-t9CBnSRemI-qds0-vDmmZlV4sL4Ep9IF4sUetJM1erV8aN9Z7dK4JVDoa-asb7xJrsrkH3LwRHUAUrgB9MG5ImdV6iNSxzEWitQW54La_YlQHsSnDjcQTEiPs8bq7prIZVL1ni5xIs3wdd9KEewVH5vBe4F7QOdW_vNiUnBHOmNRw8Jx2wUpGcQriksRdByN7OsJ56mGBbtG46U5KqPqB6Oe3JIfnOK2RjIXlFF04aQypz4iXmIwo51aMPC2P04TnD2NLjkzvIw6ua_qc2EJrTHaZ9ubyghBM9Gx79LKst1nmtXMhKM6-rrwl-a0M8HZDglyNBHXKcm0mwSV6VnolCyifsHRiAAnt9ah_jZLZ9ots1bbJFNL6S4na_jHen6F0-xRusEEDXSfrGZdjCgNOOaTo9ddM04LHkBZ37symaZB6T4e264eL3DIbeXXzonRrXWnVFWTIUUc9wgNFzdwv-NYD0rG__F_OWb6M0ZVXbP-Kv-2KtijCxoOdwyhxphzvXOeZ57PttSVl8v0QNONZNDST5p6hPzOwB5fJ9yG1Jdv4Cl3rJWysY2kyePAV-uA7vWi4YMcOlqtJDQjs07LzdZUp52clFX40D4zlRPGGdsAypxtmltsAoT3T3nU1OX0Wk15j0hMcxGcl2Y1Sq7uzwAA18ydVJP5_YmnMNjx0Qj8chIhs0l52-QGYU_WQ7ZFjdyJCtvVxkik5mp1MfGgGF_gc8TpoIgnGwcAo0WZtGShs79wxdyLwEFtyyABHyeIUmFwJi9H_U6u06thGwvbrXz0mXWNczxqlDtF8EDuuAYpoTniyoTiY4eML0hDD_E29QDI38OsQtFyMzzFFB98z5T8HAJ8PGkbHPtcVw1nrZ_e4ipD1ZeE6WsgmQgWx51oHPW2l7C7Tmu-Xacn2YR42MiDGF5I_H-Stz1HqptmeKEqkaZcmS_vWARBYyGoMtkVpCkv9peTgx67GL1Esr1hJShItzfIxyenZ2g4IlXJ0NDmYrrps7VdCfbtE_14yhFoeRWsvrzQBlqA4BpZ3HPHkPwN5rPpWfzQwhD9Q7vv4LecXFdk5vuA==&xkcb=SoBO-_M3Syq9LaxZVR0PbzkdCdPP&p=12&fvj=0&vjs=3
Data Engineer-Products,Data Engineer,Fortuna Entertainment Group,Hybrid remote in India,"Good knowledge of design & implementation of complete data landscape including data ingestion, data storage, data processing and data consumption.",PostedPosted 9 days ago,?,2023-03-15,/rc/clk?jk=54aebd71d82967fe&fccid=c3bb3cf14dca2a9d&vjs=3
Data Analyst,Data Engineer,NOVEL FINANCIALS BUSINESS SOLUTIONS PVT LTD,"Remote in Mumbai, Maharashtra","Minimum 2 years of hands-on analytical experience in working as a data analyst / BI analyst / data engineer.
2-3 years experience with managing data quality and…",EmployerActive 1 day ago,"₹7,50,000 - ₹8,50,000 a year",2023-03-15,/company/NOVEL-FINANCIALS-BUSINESS-SOLUTIONS-PVT-LTD/jobs/Data-Analyst-b57f81a34561ff9c?fccid=434ea19e34ffc039&vjs=3
Data Engineer – R01520362,Data Engineer,Brillio,"Bengaluru, Karnataka","Born digital in 2014, we apply Customer Experience Solutions, Data Analytics and AI, Digital Infrastructure and Security, and Platform and Product Engineering…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=0ec53baed4d0abc0&fccid=a2520645450d003a&vjs=3
Software Engineer (Data Science),Data Engineer,Konverge.AI,"Nagpur, Maharashtra","Deep understanding of data structures.
Experience with data visualization tools such as D3.js, GGplot, Jupyter, etc.
Excellence in one is highly desirable.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=b6c952530f0f8410&fccid=9f25424a719fd2a3&vjs=3
Data Engineer,Data Engineer,Ayruz Data Marketing,Kerala,"The existing data pipelines use Apache Spark (Deployed on AWS EMR) with a mixture of Java, Python, and Scala languages.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=63933cca8286921a&fccid=966f1e0100a44813&vjs=3
"Team Lead, Data Science Analytics",Data Engineer,Numerator,India,"4+ years' progressive experience as a Data Analyst/BI engineer.
Experience conducting large scale data analysis to support business decision making.",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=a94f3ea604ff422e&fccid=11f2ca9fb7278374&vjs=3
Sr GIS Data Engineer,Data Engineer,HERE Technologies,"Navi Mumbai, Maharashtra","Leverage data engineering technologies like FME, ArcGIS, Python, SQL and others to transform and integrate data, or create products.",PostedPosted 13 days ago,?,2023-03-15,/rc/clk?jk=8c4d48cd1fb33f02&fccid=1a8dd67b37dcdef8&vjs=3
Data Engineer (PIM),Data Engineer,Sage IT India,"Hyderabad, Telangana","Lead and mentor junior engineers.
Proven data engineering, problem solving, and analysis skills.
Thorough understanding of, and support for, Agile development…",PostedPosted 15 days ago,?,2023-03-15,/rc/clk?jk=d08874a31b311cce&fccid=e4abde6aba405eb8&vjs=3
2023_EDX2_CAPP_Data_Engineer,Data Engineer,Bosch Group,"Bengaluru, Karnataka",As a Senior Data Engineer you will develop and operate data pipelines delivering data from our engineering and the customer fleet to power our machine learning…,PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=0d76ca655b06bdce&fccid=a2faf1301ac6ad4b&vjs=3
Data QA Engineer,Data Engineer,Bottomline Technologies,"Bengaluru, Karnataka","At least 3 years of data testing and data test automation.
In partnership with our data engineers and analysts, he/she will serve as the point person…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=19d2ff15258c6f7f&fccid=30d246fbab8703db&vjs=3
Data Analyst,Data Engineer,NOVEL FINANCIALS BUSINESS SOLUTIONS PVT LTD,"Remote in Mumbai, Maharashtra","Minimum 2 years of hands-on analytical experience in working as a data analyst / BI analyst / data engineer.
2-3 years experience with managing data quality and…",EmployerActive 1 day ago,"₹7,50,000 - ₹8,50,000 a year",2023-03-15,/company/NOVEL-FINANCIALS-BUSINESS-SOLUTIONS-PVT-LTD/jobs/Data-Analyst-b57f81a34561ff9c?fccid=434ea19e34ffc039&vjs=3
Data Engineer,Data Engineer,Clustrex,"Chennai, Tamil Nadu","BE Computer Science/IT/ECE with solid Python, NumPy, Pandas, Postgresql/MySQL, AWS, Docker, GIT, Javascript, Tableau, Extract Transform and Load, DBT Must be…",PostedPosted 30+ days ago,?,2023-03-15,/rc/clk?jk=cfe94d36a4ebf619&fccid=c6d5bb7e186731a9&vjs=3
